resp_id,contest_no,unique_id,conjoint_response,bread1,bread2,protein1,protein2,veggie1,veggie2,selected1,selected2,parent_key,key,setofconjoint_repeat
1,1,1_1,"1,6,1|2,3,2|3,8,5|2",6,1,3,2,8,5,0,1,uuid:c53882fa-84b3-4f62-9fd2-468bca13bd86,uuid:c53882fa-84b3-4f62-9fd2-468bca13bd86/sandwich_group-conjoint_repeat[1],uuid:c53882fa-84b3-4f62-9fd2-468bca13bd86/sandwich_group-conjoint_repeat
1,2,1_2,"1,5,2|2,4,1|3,1,4|1",5,2,4,1,1,4,1,0,uuid:c53882fa-84b3-4f62-9fd2-468bca13bd86,uuid:c53882fa-84b3-4f62-9fd2-468bca13bd86/sandwich_group-conjoint_repeat[2],uuid:c53882fa-84b3-4f62-9fd2-468bca13bd86/sandwich_group-conjoint_repeat
2,1,2_1,"1,5,3|2,1,1|3,8,2|1",5,3,1,1,8,2,1,0,uuid:c187ebd2-fc0a-4a4f-9dd5-1e665913cd4a,uuid:c187ebd2-fc0a-4a4f-9dd5-1e665913cd4a/sandwich_group-conjoint_repeat[1],uuid:c187ebd2-fc0a-4a4f-9dd5-1e665913cd4a/sandwich_group-conjoint_repeat
2,2,2_2,"1,6,5|2,3,3|3,2,6|2",6,5,3,3,2,6,0,1,uuid:c187ebd2-fc0a-4a4f-9dd5-1e665913cd4a,uuid:c187ebd2-fc0a-4a4f-9dd5-1e665913cd4a/sandwich_group-conjoint_repeat[2],uuid:c187ebd2-fc0a-4a4f-9dd5-1e665913cd4a/sandwich_group-conjoint_repeat
3,1,3_1,"1,3,1|2,2,4|3,6,8|2",3,1,2,4,6,8,0,1,uuid:4b06c412-7b30-4234-9b71-7c0c4b14b678,uuid:4b06c412-7b30-4234-9b71-7c0c4b14b678/sandwich_group-conjoint_repeat[1],uuid:4b06c412-7b30-4234-9b71-7c0c4b14b678/sandwich_group-conjoint_repeat
3,2,3_2,"1,1,6|2,1,5|3,2,2|1",1,6,1,5,2,2,1,0,uuid:4b06c412-7b30-4234-9b71-7c0c4b14b678,uuid:4b06c412-7b30-4234-9b71-7c0c4b14b678/sandwich_group-conjoint_repeat[2],uuid:4b06c412-7b30-4234-9b71-7c0c4b14b678/sandwich_group-conjoint_repeat
4,1,4_1,"1,4,1|2,1,4|3,8,7|2",4,1,1,4,8,7,0,1,uuid:004bd5e2-49df-4f43-bd14-4d09f5c87f07,uuid:004bd5e2-49df-4f43-bd14-4d09f5c87f07/sandwich_group-conjoint_repeat[1],uuid:004bd5e2-49df-4f43-bd14-4d09f5c87f07/sandwich_group-conjoint_repeat
4,2,4_2,"1,2,2|2,4,6|3,4,3|2",2,2,4,6,4,3,0,1,uuid:004bd5e2-49df-4f43-bd14-4d09f5c87f07,uuid:004bd5e2-49df-4f43-bd14-4d09f5c87f07/sandwich_group-conjoint_repeat[2],uuid:004bd5e2-49df-4f43-bd14-4d09f5c87f07/sandwich_group-conjoint_repeat
5,1,5_1,"1,5,5|2,1,1|3,4,1|1",5,5,1,1,4,1,1,0,uuid:021c2ca7-5778-4592-aee7-3028fd1e48b8,uuid:021c2ca7-5778-4592-aee7-3028fd1e48b8/sandwich_group-conjoint_repeat[1],uuid:021c2ca7-5778-4592-aee7-3028fd1e48b8/sandwich_group-conjoint_repeat
5,2,5_2,"1,2,2|2,1,5|3,6,6|2",2,2,1,5,6,6,0,1,uuid:021c2ca7-5778-4592-aee7-3028fd1e48b8,uuid:021c2ca7-5778-4592-aee7-3028fd1e48b8/sandwich_group-conjoint_repeat[2],uuid:021c2ca7-5778-4592-aee7-3028fd1e48b8/sandwich_group-conjoint_repeat
6,1,6_1,"1,4,2|2,4,6|3,3,8|1",4,2,4,6,3,8,1,0,uuid:fb67bdc5-22cb-4e3e-9bee-1dc05aedec69,uuid:fb67bdc5-22cb-4e3e-9bee-1dc05aedec69/sandwich_group-conjoint_repeat[1],uuid:fb67bdc5-22cb-4e3e-9bee-1dc05aedec69/sandwich_group-conjoint_repeat
6,2,6_2,"1,2,6|2,2,5|3,8,8|2",2,6,2,5,8,8,0,1,uuid:fb67bdc5-22cb-4e3e-9bee-1dc05aedec69,uuid:fb67bdc5-22cb-4e3e-9bee-1dc05aedec69/sandwich_group-conjoint_repeat[2],uuid:fb67bdc5-22cb-4e3e-9bee-1dc05aedec69/sandwich_group-conjoint_repeat
7,1,7_1,"1,3,2|2,6,6|3,4,6|1",3,2,6,6,4,6,1,0,uuid:21a833cc-85ab-4518-bf67-346833e749e1,uuid:21a833cc-85ab-4518-bf67-346833e749e1/sandwich_group-conjoint_repeat[1],uuid:21a833cc-85ab-4518-bf67-346833e749e1/sandwich_group-conjoint_repeat
7,2,7_2,"1,5,6|2,2,3|3,8,7|2",5,6,2,3,8,7,0,1,uuid:21a833cc-85ab-4518-bf67-346833e749e1,uuid:21a833cc-85ab-4518-bf67-346833e749e1/sandwich_group-conjoint_repeat[2],uuid:21a833cc-85ab-4518-bf67-346833e749e1/sandwich_group-conjoint_repeat
8,1,8_1,"1,2,3|2,3,1|3,2,5|1",2,3,3,1,2,5,1,0,uuid:4451c4fd-e848-4777-b50c-1817d6d56a84,uuid:4451c4fd-e848-4777-b50c-1817d6d56a84/sandwich_group-conjoint_repeat[1],uuid:4451c4fd-e848-4777-b50c-1817d6d56a84/sandwich_group-conjoint_repeat
8,2,8_2,"1,6,3|2,1,4|3,5,2|2",6,3,1,4,5,2,0,1,uuid:4451c4fd-e848-4777-b50c-1817d6d56a84,uuid:4451c4fd-e848-4777-b50c-1817d6d56a84/sandwich_group-conjoint_repeat[2],uuid:4451c4fd-e848-4777-b50c-1817d6d56a84/sandwich_group-conjoint_repeat
9,1,9_1,"1,1,6|2,4,1|3,8,4|1",1,6,4,1,8,4,1,0,uuid:bea5d8a4-2eed-4454-80a8-c35b7685b4c8,uuid:bea5d8a4-2eed-4454-80a8-c35b7685b4c8/sandwich_group-conjoint_repeat[1],uuid:bea5d8a4-2eed-4454-80a8-c35b7685b4c8/sandwich_group-conjoint_repeat
9,2,9_2,"1,6,1|2,1,4|3,8,2|2",6,1,1,4,8,2,0,1,uuid:bea5d8a4-2eed-4454-80a8-c35b7685b4c8,uuid:bea5d8a4-2eed-4454-80a8-c35b7685b4c8/sandwich_group-conjoint_repeat[2],uuid:bea5d8a4-2eed-4454-80a8-c35b7685b4c8/sandwich_group-conjoint_repeat
10,1,10_1,"1,4,2|2,5,6|3,1,4|1",4,2,5,6,1,4,1,0,uuid:24115e53-2809-4e26-bfaf-836390d50f72,uuid:24115e53-2809-4e26-bfaf-836390d50f72/sandwich_group-conjoint_repeat[1],uuid:24115e53-2809-4e26-bfaf-836390d50f72/sandwich_group-conjoint_repeat
10,2,10_2,"1,1,1|2,6,5|3,4,8|2",1,1,6,5,4,8,0,1,uuid:24115e53-2809-4e26-bfaf-836390d50f72,uuid:24115e53-2809-4e26-bfaf-836390d50f72/sandwich_group-conjoint_repeat[2],uuid:24115e53-2809-4e26-bfaf-836390d50f72/sandwich_group-conjoint_repeat
